C02-1114,7,0
P05-1018,11,0
N03-1003,6,0
P06-1043,5,0
W08-0336,1,0
D09-1098,16,0
P92-1008,6,0
N04-1014,7,0
W06-3601,12,0
P07-1123,8,1
D09-1101,1,0
J92-1004,0,0
P04-1066,13,0
J01-2001,2,0
P05-1017,18,0
W04-3212,6,0
P06-2101,17,0
P94-1019,4,0
D07-1003,18,0
E09-1013,9,0
N09-1012,17,0
C10-1152,16,0
A92-1021,17,0
J96-1002,12,0
P98-1012,14,1
P00-1058,12,1
N06-1003,12,0
W03-0424,17,0
H05-1010,5,1
N06-1011,14,0
J98-2002,8,0
H05-1011,12,0
J99-4004,8,0
E06-1032,13,1
P99-1041,18,1
C04-1200,10,0
P08-1064,13,0
D08-1027,13,0
J92-1004,1,0
J03-1003,15,0
W06-3108,5,0
P03-1071,3,0
C90-3044,2,0
P10-2041,12,0
P06-2014,10,0
W95-0105,9,0
W03-0407,2,0
W05-1203,13,0
P09-1040,9,0
P08-1004,9,0
P98-1035,4,0
W07-0702,2,0
A92-1018,19,0
J05-3002,4,0
P01-1017,11,0
P05-1010,6,0
J04-1002,1,0
P09-1068,13,0
D10-1048,8,0
J97-1002,8,0
P05-1036,8,0
W01-1605,7,0
P03-1029,13,0
P08-2007,2,0
P08-1090,12,0
W04-3237,7,0
J91-4003,13,0
W04-3205,9,0
W05-1203,16,0
P03-1010,1,0
H05-1011,2,0
W00-0717,11,0
W07-2016,12,0
P03-1009,1,0
N10-1115,6,0
D09-1127,9,0
N10-1019,9,0
N09-1009,5,0
P04-1018,6,0
J10-4006,1,0
W97-0301,9,0
P04-1066,8,0
P09-1116,2,0
E03-1009,11,1
W04-3103,10,0
W06-2922,11,0
P02-1022,17,0
P07-1034,8,0
P00-1065,17,0
N01-1016,11,0
N04-1013,17,0
W08-0509,12,0
P02-1014,7,0
N04-1014,3,0
P99-1014,7,0
D09-1030,7,0
P06-1005,7,0
W97-0703,6,1
C02-2025,12,0
H93-1061,17,0
P97-1009,10,0
P07-2045,11,0
J10-3003,2,0
W01-0521,10,0
C04-1010,6,0
D11-1141,7,0
P03-1019,15,0
H93-1052,13,0
W06-3119,15,0
P06-1085,13,0
J93-1007,7,0
H05-1044,3,0
J93-2004,7,1
C96-1021,5,0
D07-1076,19,0
P11-1055,13,0
N13-1090,19,0
P95-1037,14,0
C94-1042,2,0
P05-1012,8,0
C90-2067,5,0
D10-1115,7,1
W03-0301,16,0
I05-2038,7,0
J97-1003,5,0
C02-1145,18,0
J03-4004,10,0
P09-1042,6,0
P03-1069,8,1
P98-1013,0,1
C04-1200,1,0
A00-1043,17,0
W07-1604,1,0
W99-0501,8,0
W08-1301,9,0
P08-1024,3,0
P04-3022,18,0
W04-3206,6,0
P10-1040,10,1
W05-1506,18,0
E03-1005,4,0
P07-1005,11,0
A92-1021,9,0
E09-1013,13,0
P01-1017,3,0
W97-1306,5,0
C92-1038,3,0
W06-1606,3,0
P11-1016,0,0
P98-1069,5,0
W04-3230,8,0
P05-1065,2,0
P06-1043,2,0
A94-1009,3,0
W03-0428,13,0
E06-1051,3,0
D10-1125,15,1
P03-1021,9,0
P09-1077,0,0
D08-1089,12,0
P10-1146,3,0
N09-1041,7,0
D10-1115,14,0
W08-1301,16,0
